unique_key,created_date,complaint_type,descriptor,borough,latitude,longitude,status,closed_date,severity,month,weather,impact,complaints,accessibility,priority_score,priority_tier
68885846,2026-05-05 02:30:52,Street Condition,Pothole,Queens,40.76187755133223,-73.78997427212825,Open,,3.22,5,1.07,0.59,0.96,1.34,6.34,Medium
68887353,2026-05-05 02:00:32,Street Condition,Pothole,Brooklyn,40.61746310845527,-74.01038094282644,Open,,2.95,5,1.07,1.6,0.43,1.29,6.48,Medium
68884604,2026-05-05 01:17:45,Street Condition,Failed Street Repair,Brooklyn,40.58614999505979,-73.97090234471605,In Progress,,3.29,5,1.02,0.93,0.24,1.05,5.58,Medium
68878551,2026-05-05 00:59:44,Sidewalk Condition,Broken Sidewalk,Queens,40.72639503808653,-73.84067230388453,In Progress,,2.16,5,1.0,2.52,0.97,0.97,6.62,High
68880758,2026-05-05 00:54:00,Street Light Condition,Street Light Out,Manhattan,40.79010143672517,-73.97695608540096,Open,,1.0,5,1.03,2.11,0.06,0.13,3.33,Low
68876782,2026-05-05 00:41:14,Street Condition,Pothole,Brooklyn,40.67689413208141,-73.90004573863688,Open,,3.38,5,1.02,1.86,0.41,0.85,6.57,High
68877036,2026-05-04 23:59:05,Sidewalk Condition,Broken Sidewalk,Manhattan,40.78992181881302,-73.94796083228302,In Progress,,2.21,5,1.04,2.12,0.0,0.95,5.37,Medium
68877734,2026-05-04 23:50:58,Street Condition,Pothole,Queens,40.73177902884212,-73.77010866842208,Closed,2026-05-04T23:50:58.000,3.23,5,1.1,1.8,0.75,0.77,6.87,High
68883785,2026-05-04 23:50:27,Street Condition,Pothole,Queens,40.725476145414376,-73.76557731286611,Closed,2026-05-04T23:50:27.000,2.7,5,1.02,1.99,0.93,0.6,6.27,Medium
68882286,2026-05-04 23:44:42,Street Condition,Pothole,Queens,40.70327874865508,-73.73620712128428,Closed,2026-05-04T23:44:42.000,2.96,5,1.03,0.72,0.83,1.14,5.74,Medium
68877740,2026-05-04 23:44:00,Street Light Condition,Street Light Out,Manhattan,40.78645905837986,-73.9444210144766,Open,,1.0,5,1.07,2.66,0.14,1.29,5.16,Medium
68886838,2026-05-04 23:41:00,Street Light Condition,Street Light Out,Brooklyn,40.67727372158297,-73.96898787082176,Open,,1.34,5,1.05,2.42,0.23,0.88,4.94,Medium
68880787,2026-05-04 23:32:00,Street Light Condition,Street Light Out,Brooklyn,40.68018838844582,-73.96795537647968,Open,,1.12,5,1.0,1.77,0.29,1.36,4.54,Medium
68886131,2026-05-04 23:23:27,Sidewalk Condition,Broken Sidewalk,Bronx,40.908896540162544,-73.90163593701935,In Progress,,2.26,5,1.02,1.54,0.38,1.52,5.75,Medium
68876285,2026-05-04 23:17:00,Street Light Condition,Lamppost Knocked Down,Brooklyn,40.60410870601152,-74.01823324109252,Open,,1.0,5,1.09,0.25,0.35,0.81,2.5,Low
68877760,2026-05-04 23:11:00,Street Light Condition,Street Light Lamp Dim,Brooklyn,40.67553675373104,-73.87099401233073,Open,,1.0,5,1.01,1.18,0.31,0.88,3.38,Low
68879250,2026-05-04 23:04:05,Street Condition,Pothole,Queens,40.68129301808039,-73.82555426000988,Closed,2026-05-04T23:04:05.000,3.04,5,1.06,1.76,0.9,1.54,7.42,High
68879251,2026-05-04 23:04:04,Street Condition,Pothole,Queens,40.68129301808039,-73.82555426000988,Closed,2026-05-04T23:04:04.000,2.65,5,1.08,2.1,0.91,0.66,6.53,High
68887362,2026-05-04 23:04:02,Street Condition,Pothole,Queens,40.68129301808039,-73.82555426000988,Open,,3.26,5,1.03,1.86,0.86,0.82,6.9,High
68882303,2026-05-04 22:52:00,Street Light Condition,Street Light Out,Brooklyn,40.59063318594477,-73.94975078508689,Open,,1.11,5,1.07,1.76,0.28,1.69,4.92,Medium
68883793,2026-05-04 22:50:00,Street Light Condition,Street Light Out,Brooklyn,40.66439631505111,-73.95555617982042,Open,,1.21,5,1.02,2.76,0.37,0.93,5.29,Medium
68880739,2026-05-04 22:48:33,Street Condition,Pothole,Queens,40.76438952531138,-73.89167293472855,Closed,2026-05-04T22:48:33.000,2.88,5,1.03,2.0,0.85,1.41,7.23,High
68882304,2026-05-04 22:48:00,Street Light Condition,Street Light Out,Brooklyn,40.59095028361249,-73.94686289481746,Open,,1.38,5,1.03,1.6,0.42,0.79,4.23,Medium
68878558,2026-05-04 22:46:03,Sidewalk Condition,Sidewalk Violation,Queens,40.7484550852972,-73.82763045963796,In Progress,,2.31,5,1.1,2.59,0.89,1.04,7.06,High
68879277,2026-05-04 22:45:00,Street Light Condition,Street Light Out,Brooklyn,40.63235509503321,-73.98014138595282,Open,,1.22,5,1.02,1.25,0.33,1.43,4.25,Medium
68884288,2026-05-04 22:40:52,Street Condition,Pothole,Manhattan,40.72654369486227,-73.99911967520802,Open,,2.76,5,1.01,1.26,0.0,0.76,4.81,Medium
68876268,2026-05-04 22:36:00,Street Light Condition,Street Light Out,Staten Island,40.59005944132112,-74.19132789239293,Open,,1.0,5,1.09,0.99,1.9,1.03,5.01,Medium
68884606,2026-05-04 22:28:30,Street Condition,"Rough, Pitted or Cracked Roads",Manhattan,40.81864523173604,-73.96160229172943,In Progress,,2.64,5,1.02,1.62,0.0,1.12,5.43,Medium
68886837,2026-05-04 22:13:00,Street Light Condition,Street Light Out,Staten Island,40.6026388761765,-74.097358269608,Open,,1.0,5,1.09,1.02,2.0,0.73,4.84,Medium
68877737,2026-05-04 22:13:00,Street Light Condition,Street Light Out,Staten Island,40.53381778720053,-74.17793890894974,Open,,1.15,5,1.07,1.6,2.0,1.67,6.5,High
68883795,2026-05-04 22:13:00,Street Light Condition,Street Light Out,Bronx,40.83219708431535,-73.82406006745404,Open,,1.2,5,1.06,1.58,0.45,1.61,4.91,Medium
68882288,2026-05-04 22:09:00,Street Light Condition,Street Light Out,Brooklyn,40.61031167827126,-73.90394152624434,Open,,1.37,5,1.08,1.8,0.36,0.99,4.63,Medium
68879281,2026-05-04 22:01:00,Street Light Condition,Street Light Out,Brooklyn,40.68454542304234,-73.98789594645743,Open,,1.0,5,1.07,1.83,0.4,1.03,4.33,Medium
68880064,2026-05-04 22:00:58,Sidewalk Condition,Sidewalk Violation,Queens,40.7484550852972,-73.82763045963796,In Progress,,1.9,5,1.01,0.34,0.88,1.57,4.71,Medium
68878595,2026-05-04 21:59:20,Street Condition,Plate Condition - Noisy,Brooklyn,40.71304313566539,-73.96752115104931,In Progress,,2.98,5,1.1,1.04,0.31,0.99,5.62,Medium
68885311,2026-05-04 21:56:00,Street Light Condition,Street Light Out,Manhattan,40.77592316061583,-73.95316737408258,Open,,1.0,5,1.09,1.81,0.03,0.76,3.69,Low
68887344,2026-05-04 21:53:03,Street Condition,Pothole,Queens,40.70333809068956,-73.7381544768341,Open,,2.7,5,1.09,1.08,0.81,1.34,6.17,Medium
68879282,2026-05-04 21:52:00,Street Light Condition,Street Light Out,Brooklyn,40.66308949199978,-73.96238749617706,Open,,1.0,5,1.06,1.68,0.32,0.68,3.74,Low
68881277,2026-05-04 21:51:08,Street Condition,Pothole,Brooklyn,40.680790913876,-73.99172918215575,Open,,2.78,5,1.05,2.5,0.45,1.08,6.95,High
68879252,2026-05-04 21:43:00,Street Light Condition,Street Light Out,Queens,40.69295371116213,-73.89683389444822,Open,,1.14,5,1.05,1.46,0.86,1.03,4.55,Medium
68880755,2026-05-04 21:40:00,Street Light Condition,Street Light Out,Brooklyn,40.626918860224464,-73.9238394752034,Open,,1.0,5,1.0,1.14,0.21,0.89,3.24,Low
68879253,2026-05-04 21:36:00,Street Light Condition,Street Light Out,Queens,40.66916610271032,-73.79528408500236,Open,,1.27,5,1.05,1.1,0.85,0.53,3.81,Low
68876270,2026-05-04 21:34:00,Street Light Condition,Street Light Out,Brooklyn,40.58636406676872,-73.96149462693431,Open,,1.16,5,1.06,2.66,0.47,1.12,5.48,Medium
68884280,2026-05-04 21:26:33,Street Condition,Pothole,Queens,40.73718321450533,-73.71811347592079,Open,,2.85,5,1.07,2.27,0.72,1.21,7.25,High
68883794,2026-05-04 21:25:00,Street Light Condition,Street Light Out,Brooklyn,40.6964362194552,-73.99352315840665,Open,,1.27,5,1.03,2.1,0.47,0.9,4.78,Medium
68881594,2026-05-04 21:24:26,Street Condition,Cave-in,Queens,40.74496529839072,-73.88916025163634,In Progress,,3.24,5,1.05,0.72,0.99,0.65,5.76,Medium
68877032,2026-05-04 21:24:05,Sidewalk Condition,Broken Sidewalk,Brooklyn,40.62633979714076,-73.97295984691522,In Progress,,1.91,5,1.06,1.95,0.35,1.48,5.8,Medium
68884281,2026-05-04 21:23:44,Street Condition,Pothole,Queens,40.74821526632476,-73.87845757473865,Open,,2.83,5,1.04,1.69,0.79,1.16,6.58,High
68886835,2026-05-04 21:16:00,Street Light Condition,Street Light Lamp Dim,Brooklyn,40.67255607220282,-73.98629751649939,Open,,1.15,5,1.1,1.81,0.18,0.99,4.24,Medium
68876271,2026-05-04 21:16:00,Street Light Condition,Street Light Out,Brooklyn,40.63874005140188,-74.02986643759127,Open,,1.0,5,1.07,1.51,0.18,1.38,4.14,Medium
68886143,2026-05-04 21:14:24,Street Condition,Failed Street Repair,Bronx,40.845377030141535,-73.88210763152644,In Progress,,2.76,5,1.0,1.42,0.28,1.37,5.83,Medium
68877761,2026-05-04 21:13:00,Street Light Condition,Street Light Out,Manhattan,40.8077127002721,-73.94131837212839,Open,,1.0,5,1.0,1.68,0.08,1.44,4.2,Medium
68877042,2026-05-04 21:09:30,Street Condition,Cave-in,Manhattan,40.73318038054144,-74.00560360888781,In Progress,,3.23,5,1.07,1.43,0.13,1.1,6.12,Medium
68882287,2026-05-04 20:49:00,Street Light Condition,Street Light Out,Queens,40.66707090708815,-73.85629970361933,Open,,1.13,5,1.04,2.18,0.74,0.58,4.68,Medium
68880785,2026-05-04 20:46:00,Street Light Condition,Street Light Out,Staten Island,40.60878407236816,-74.15721022467582,Open,,1.16,5,1.08,1.64,2.0,0.8,5.69,Medium
68883796,2026-05-04 20:43:00,Street Light Condition,Street Light Out,Bronx,40.814820910548754,-73.86297121469572,Open,,1.22,5,1.02,1.46,0.31,1.12,4.13,Medium
68881601,2026-05-04 20:40:26,Street Condition,Defective Hardware,Manhattan,40.76085747543163,-73.96106887544212,In Progress,,2.97,5,1.0,2.18,0.0,0.99,6.14,Medium
68878593,2026-05-04 20:37:12,Street Condition,Plate Condition - Noisy,Brooklyn,40.697323849957,-73.95180530750005,In Progress,,3.05,5,1.04,1.99,0.34,1.01,6.51,High
68885310,2026-05-04 20:34:00,Street Light Condition,Street Light Out,Staten Island,40.576047812825855,-74.09335617262745,Open,,1.0,5,1.07,2.37,2.0,0.66,6.1,Medium
68885292,2026-05-04 20:25:00,Street Light Condition,Street Light Cycling,Manhattan,40.863360581622736,-73.92947250605553,Open,,1.0,5,1.1,2.44,0.0,1.08,4.62,Medium
68876265,2026-05-04 19:54:00,Street Light Condition,Street Light Out,Queens,40.70465315031037,-73.90463152071958,Open,,1.13,5,1.09,1.92,0.73,1.3,5.18,Medium
68881605,2026-05-04 19:49:55,Street Condition,Failed Street Repair,Brooklyn,40.68612542562763,-73.98067704491359,In Progress,,2.98,5,1.05,1.82,0.38,1.07,6.4,Medium
68885294,2026-05-04 19:42:00,Street Light Condition,Street Light Out,Bronx,40.87226653239813,-73.84676613754365,Open,,1.05,5,1.08,1.38,0.17,1.36,4.04,Medium
68886135,2026-05-04 19:38:40,Street Condition,Blocked - Construction,Staten Island,40.61206903950518,-74.0726787448267,In Progress,,3.21,5,1.01,1.89,2.0,0.71,7.84,High
68877037,2026-05-04 19:37:54,Sidewalk Condition,Metal Protruding - Sign Stump,Brooklyn,40.63675219184727,-74.03221472609901,In Progress,,2.11,5,1.06,2.13,0.46,0.94,5.77,Medium
68876263,2026-05-04 19:18:47,Street Condition,Pothole,Staten Island,40.56345223685677,-74.16974713844488,Closed,2026-05-04T19:18:47.000,3.04,5,1.09,0.79,1.88,0.86,6.84,High
68884590,2026-05-04 19:18:18,Sidewalk Condition,Defective Hardware,Brooklyn,40.600508929871125,-74.00335980577603,In Progress,,2.05,5,1.04,2.03,0.35,1.27,5.78,Medium
68885842,2026-05-04 19:17:06,Street Condition,Pothole,Staten Island,40.56345223685677,-74.16974713844488,Open,,2.84,5,1.1,1.62,2.0,1.08,7.82,High
68877034,2026-05-04 19:16:09,Sidewalk Condition,Broken Sidewalk,Queens,40.73244360855267,-73.84403873774255,In Progress,,1.62,5,1.02,0.45,0.83,0.9,3.83,Low
68887345,2026-05-04 19:13:48,Street Condition,Pothole,Queens,40.74359267438242,-73.92241053728603,Open,,2.95,5,1.01,1.04,0.83,0.89,5.74,Medium
68886166,2026-05-04 18:55:14,Street Condition,Plate Condition - Noisy,Brooklyn,40.68756057905849,-73.95852632591372,In Progress,,2.77,5,1.05,1.98,0.47,0.51,5.87,Medium
68887628,2026-05-04 18:54:13,Sidewalk Condition,Broken Sidewalk,Queens,40.7022009786242,-73.90664388993804,In Progress,,1.93,5,1.09,0.54,0.76,1.48,4.88,Medium
68880066,2026-05-04 18:53:03,Street Condition,Cave-in,Bronx,40.88529778340735,-73.89541791415276,In Progress,,3.28,5,1.03,0.72,0.32,0.67,5.09,Medium
68881593,2026-05-04 18:50:43,Street Condition,Cave-in,Queens,40.71531351361463,-73.77726461197841,In Progress,,2.79,5,1.08,1.36,0.72,1.13,6.22,Medium
68883106,2026-05-04 18:49:06,Street Condition,"Rough, Pitted or Cracked Roads",Queens,40.70412788335168,-73.85611522980315,In Progress,,2.65,5,1.02,1.75,0.78,1.01,6.24,Medium
68880057,2026-05-04 18:47:09,Sidewalk Condition,Pedestrian Ramp Defective,Brooklyn,40.66173303076658,-73.96076989284592,In Progress,,1.83,5,1.07,2.07,0.44,1.02,5.49,Medium
68880058,2026-05-04 18:45:15,Sidewalk Condition,Pedestrian Ramp Defective,Brooklyn,40.66173303076658,-73.96076989284592,In Progress,,1.83,5,1.06,2.59,0.39,1.1,6.02,Medium
68878557,2026-05-04 18:37:35,Sidewalk Condition,Sidewalk Violation,Queens,40.71926618481127,-73.75059192077237,In Progress,,2.13,5,1.02,1.54,0.87,0.8,5.38,Medium
68877044,2026-05-04 18:35:48,Street Condition,Defective Hardware,Brooklyn,40.6892198751447,-73.95508890031891,In Progress,,3.05,5,1.07,1.61,0.21,1.3,6.38,Medium
68880051,2026-05-04 18:34:07,Sidewalk Condition,Broken Sidewalk,Brooklyn,40.712583139834585,-73.94234719170218,In Progress,,2.23,5,1.07,1.15,0.44,0.71,4.69,Medium
68883787,2026-05-04 18:28:00,Street Light Condition,Lamppost Base Door/Cover Damaged,Queens,40.744658545026645,-73.94852308272634,Open,,1.13,5,1.05,1.31,0.78,1.1,4.38,Medium
68881588,2026-05-04 18:17:44,Sidewalk Condition,Sidewalk Violation,Brooklyn,40.60572203545559,-73.95835027942022,In Progress,,1.93,5,1.02,2.15,0.34,0.9,5.36,Medium
68880063,2026-05-04 18:13:35,Sidewalk Condition,Sidewalk Violation,Queens,40.77758845022588,-73.81053799742432,In Progress,,2.25,5,1.01,1.88,0.76,0.87,5.78,Medium
68886141,2026-05-04 18:12:30,Street Condition,Defective Hardware,Brooklyn,40.69085550544213,-73.95444593811666,In Progress,,2.73,5,1.1,1.93,0.34,0.98,6.25,Medium
68878224,2026-05-04 18:11:40,Street Condition,Pothole,Staten Island,40.60698630954917,-74.0671270116498,Open,,2.62,5,1.07,1.47,2.0,0.95,7.22,High
68877033,2026-05-04 18:07:36,Sidewalk Condition,Broken Sidewalk,Brooklyn,40.67689096138351,-73.97520702316592,In Progress,,1.67,5,1.08,2.44,0.28,1.25,5.77,Medium
68887350,2026-05-04 18:06:49,Street Condition,Pothole,Manhattan,40.79285762085752,-73.96752916217581,Open,,3.18,5,1.07,2.04,0.0,0.89,6.33,Medium
68884601,2026-05-04 18:06:01,Street Condition,Cave-in,Staten Island,40.558272363158224,-74.13487233521455,In Progress,,2.97,5,1.08,1.88,1.97,1.28,8.34,High
68879749,2026-05-04 18:04:57,Street Condition,Pothole,Manhattan,40.78722638065172,-73.95416333061578,Open,,2.73,5,1.02,1.64,0.06,1.21,5.69,Medium
68877031,2026-05-04 18:01:58,Sidewalk Condition,Broken Sidewalk,Brooklyn,40.60171406855484,-73.944088649975,In Progress,,2.0,5,1.05,1.76,0.34,1.19,5.39,Medium
68884599,2026-05-04 18:01:57,Street Condition,Cave-in,Queens,40.72745367427056,-73.77729258609536,In Progress,,2.72,5,1.07,1.26,0.95,1.2,6.32,Medium
68881608,2026-05-04 17:57:51,Street Condition,"Rough, Pitted or Cracked Roads",Queens,40.73925475037003,-73.89050131736325,In Progress,,3.16,5,1.01,1.9,0.7,1.61,7.4,High
68880074,2026-05-04 17:57:45,Street Condition,"Rough, Pitted or Cracked Roads",Queens,40.74134666858309,-73.90322573811837,In Progress,,2.96,5,1.01,0.99,0.7,0.58,5.26,Medium
68877738,2026-05-04 17:57:00,Street Light Condition,Street Light Out,Staten Island,40.53335989751755,-74.166634448636,Open,,1.0,5,1.06,1.04,1.91,1.32,5.33,Medium
68879757,2026-05-04 17:54:04,Street Condition,Pothole,Brooklyn,40.68176925926219,-73.96753277726584,Open,,2.84,5,1.09,0.87,0.22,1.56,5.75,Medium
68887633,2026-05-04 17:53:28,Sidewalk Condition,Sidewalk Violation,Queens,40.600991734792494,-73.7589237856424,In Progress,,2.1,5,1.07,1.8,0.85,1.13,6.03,Medium
68883084,2026-05-04 17:52:47,Sidewalk Condition,Broken Sidewalk,Queens,40.673369092897616,-73.73993044973292,In Progress,,1.89,5,1.0,2.12,0.75,1.57,6.33,Medium
68881273,2026-05-04 17:50:48,Street Condition,Pothole,Manhattan,40.75413060406024,-73.9883344752512,Open,,2.67,5,1.1,2.46,0.0,1.43,6.83,High
68880752,2026-05-04 17:50:00,Street Light Condition,Street Light Out,Queens,40.75286115589378,-73.88014908644087,Open,,1.0,5,1.01,1.91,0.77,0.9,4.59,Medium
68877045,2026-05-04 17:45:04,Street Condition,Failed Street Repair,Queens,40.77034544349817,-73.73429879081738,In Progress,,3.37,5,1.02,1.92,0.84,0.92,7.12,High
68880750,2026-05-04 17:44:26,Street Condition,Pothole,Staten Island,40.5545133506696,-74.18167180107281,Closed,2026-05-04T17:44:26.000,3.33,5,1.1,1.55,2.0,1.16,8.37,High
68884602,2026-05-04 17:33:11,Street Condition,Cave-in,Manhattan,40.73172571425262,-74.00436588456931,In Progress,,3.16,5,1.08,2.31,0.0,0.71,6.43,Medium
68886840,2026-05-04 17:32:00,Street Light Condition,Street Light Out,Bronx,40.87665994959892,-73.91147223784839,Open,,1.0,5,1.09,1.94,0.45,2.0,5.48,Medium
68881598,2026-05-04 17:29:32,Street Condition,Cave-in,Brooklyn,40.63904356288516,-73.89691003579766,In Progress,,3.38,5,1.08,1.47,0.24,1.34,6.7,High
68887634,2026-05-04 17:29:29,Sidewalk Condition,Sidewalk Violation,Queens,40.67104358127487,-73.74329568128587,In Progress,,2.22,5,1.07,1.4,0.84,1.01,5.63,Medium
68885833,2026-05-04 17:29:02,Street Condition,Pothole,Bronx,40.88046702754135,-73.88383183457583,Open,,3.17,5,1.03,1.64,0.24,0.88,6.03,Medium
68886721,2026-05-04 17:29:00,Street Light Condition,Multiple St Lts Dayburning,Bronx,40.87761137598851,-73.87739295298984,Open,,1.0,5,1.03,1.43,0.4,1.38,4.24,Medium
68884589,2026-05-04 17:27:31,Sidewalk Condition,Defective Hardware,Staten Island,40.55265297392288,-74.17954002543374,In Progress,,1.82,5,1.09,0.42,1.91,0.64,4.95,Medium
68884605,2026-05-04 17:26:34,Street Condition,Failed Street Repair,Queens,40.682972873082285,-73.7749821590279,In Progress,,2.68,5,1.09,0.88,0.98,1.23,6.01,Medium
68882271,2026-05-04 17:21:38,Street Condition,Pothole,Queens,40.741280237793646,-73.90256544457489,Closed,2026-05-04T17:21:38.000,3.32,5,1.04,1.61,0.9,0.25,6.21,Medium
68881582,2026-05-04 17:08:06,Sidewalk Condition,Broken Sidewalk,Brooklyn,40.58654455331201,-73.95238209918486,In Progress,,1.96,5,1.04,2.25,0.35,1.52,6.16,Medium
68879743,2026-05-04 17:02:53,Street Condition,Pothole,Queens,40.76479198378251,-73.72231054959991,Open,,2.76,5,1.03,1.5,0.85,0.87,6.06,Medium
68879274,2026-05-04 17:01:00,Street Light Condition,Street Light Out,Queens,40.69135918332869,-73.83753587492028,Open,,1.0,5,1.03,2.88,0.8,0.49,5.2,Medium
68881591,2026-05-04 17:00:34,Sidewalk Condition,Sidewalk Violation,Queens,40.70229651667727,-73.9094172148129,In Progress,,2.06,5,1.09,1.04,0.7,1.0,4.99,Medium
68879758,2026-05-04 16:59:20,Street Condition,Pothole,Brooklyn,40.622728065887706,-73.99775217929317,Open,,2.74,5,1.0,2.02,0.45,1.11,6.32,Medium
68883104,2026-05-04 16:59:00,Street Condition,Defective Hardware,Brooklyn,40.66042457494198,-73.91242961091757,In Progress,,3.29,5,1.04,2.45,0.42,1.08,7.37,High
68876773,2026-05-04 16:57:36,Street Condition,Pothole,Queens,40.72632629600013,-73.91216261860919,Open,,3.21,5,1.09,2.03,0.73,1.41,7.67,High
68883791,2026-05-04 16:57:00,Street Light Condition,Street Light Out,Staten Island,40.56006945570424,-74.10981681009089,Open,,1.18,5,1.05,1.53,1.89,1.11,5.77,Medium
68884594,2026-05-04 16:56:57,Sidewalk Condition,Sidewalk Violation,Queens,40.68727627238226,-73.81308787791382,In Progress,,1.95,5,1.05,2.04,0.78,1.24,6.11,Medium
68881272,2026-05-04 16:55:35,Street Condition,Pothole,Queens,40.60043501143545,-73.76444626267745,Open,,3.1,5,1.03,1.53,0.92,0.93,6.57,High
68884597,2026-05-04 16:55:27,Street Condition,Blocked - Construction,Brooklyn,40.66737656075308,-73.90821381054589,In Progress,,3.07,5,1.01,2.63,0.33,1.23,7.29,High
68883089,2026-05-04 16:48:33,Sidewalk Condition,Sidewalk Violation,Brooklyn,40.62750368545524,-73.9489881081254,In Progress,,2.12,5,1.02,2.44,0.38,0.71,5.69,Medium
68884286,2026-05-04 16:47:38,Street Condition,Pothole,Queens,40.745595681752405,-73.90338918538406,Open,,2.67,5,1.01,1.07,0.69,1.08,5.54,Medium
68877714,2026-05-04 16:46:04,Street Condition,Pothole,Queens,40.60227272351143,-73.75335532624582,Closed,2026-05-04T16:46:04.000,2.93,5,1.01,1.66,0.97,0.77,6.36,Medium
68876774,2026-05-04 16:45:47,Street Condition,Pothole,Queens,40.74269481810313,-73.90379396480859,Open,,2.63,5,1.02,0.73,0.74,1.4,5.55,Medium
68886839,2026-05-04 16:45:00,Street Light Condition,Street Light Out,Brooklyn,40.66843203017764,-73.89396639626972,Open,,1.0,5,1.03,2.56,0.28,1.12,4.99,Medium
68880789,2026-05-04 16:41:00,Street Light Condition,Street Light Out,Bronx,40.87379673924897,-73.83581732922582,Open,,1.0,5,1.0,1.71,0.44,1.5,4.65,Medium
68878559,2026-05-04 16:40:50,Street Condition,Blocked - Construction,Brooklyn,40.58511528713848,-73.98596263318622,In Progress,,2.72,5,1.1,2.47,0.4,1.18,7.04,High
68886857,2026-05-04 16:40:00,Street Light Condition,Street Light Out,Brooklyn,40.61457793208347,-74.03822989873284,Open,,1.0,5,1.01,1.75,0.33,1.64,4.73,Medium
68879759,2026-05-04 16:39:45,Street Condition,Pothole,Brooklyn,40.69613100999722,-73.98710407596151,Open,,3.07,5,1.04,0.87,0.44,0.63,5.13,Medium
68887631,2026-05-04 16:37:56,Sidewalk Condition,Sidewalk Violation,Queens,40.69407247709661,-73.86406682287745,In Progress,,1.74,5,1.09,2.82,0.71,0.97,6.4,Medium
68887638,2026-05-04 16:36:14,Street Condition,Cave-in,Queens,40.73337129367639,-73.7251585242127,In Progress,,3.34,5,1.01,1.57,0.71,0.71,6.36,Medium
68881581,2026-05-04 16:35:57,Sidewalk Condition,Broken Sidewalk,Manhattan,40.77867080260093,-73.98391788495505,In Progress,,2.06,5,1.05,1.5,0.0,0.29,3.95,Low
68877028,2026-05-04 16:26:52,Sidewalk Condition,Blocked - Construction,Queens,40.73185467291117,-73.82213483954999,In Progress,,1.88,5,1.08,2.07,0.77,0.69,5.56,Medium
68878572,2026-05-04 16:24:41,Street Condition,Defective Hardware,Queens,40.71933732263064,-73.87303765732788,In Progress,,3.07,5,1.06,2.52,0.9,1.35,8.02,High
68880053,2026-05-04 16:22:29,Sidewalk Condition,Broken Sidewalk,Bronx,40.88001447263234,-73.8594412183717,In Progress,,1.62,5,1.02,1.5,0.32,1.29,4.76,Medium
68881602,2026-05-04 16:20:11,Street Condition,Defective Hardware,Queens,40.72399880078296,-73.88704850920985,In Progress,,3.37,5,1.07,1.45,0.82,0.93,6.81,High
68878564,2026-05-04 16:19:29,Street Condition,Cave-in,Manhattan,40.73676175819652,-73.98765191220562,In Progress,,2.99,5,1.07,2.12,0.08,1.13,6.53,High
68878576,2026-05-04 16:16:05,Street Condition,"Rough, Pitted or Cracked Roads",Brooklyn,40.72208655486599,-73.93906322619996,In Progress,,3.23,5,1.04,1.24,0.28,1.13,6.01,Medium
68877029,2026-05-04 16:15:13,Sidewalk Condition,Broken Sidewalk,Brooklyn,40.6358393707401,-73.96265506418018,In Progress,,1.67,5,1.0,1.45,0.21,1.28,4.61,Medium
68883789,2026-05-04 16:15:00,Street Light Condition,Street Light Out,Queens,40.67447848807851,-73.84732512637532,Open,,1.0,5,1.0,2.39,0.81,1.1,5.3,Medium
